タイトル,タイトルURL,画像URL,Like,作者,manga_id,作品紹介,コメント,score
会長が新入社員に転生した,https://manga.line.me/product/periodic?id=Z0003237,https://linemanga-obs.line-scdn.net/0hgoeSZBTKOEBYKiZFAttHF313Pi8hRi9JMhxpdCNtMjNreSwfPEx2VC8oGisMGD9-BU4jJygoY3dyX38SbBhxcnUt/middle,190.0,B. House(原作)・mung jwi(脚色)・Yea hwan(作画),Z0003237,"何もないところから自らの手で創業し成功させたシンウテクノロジーの会長、オ・チャンソク。
50代前半でこの世を去った彼が、同姓同名の低スペックの青年の体に転生した！
果たして彼は、新しい人生で何を成すのか──？",137.0,1560.0
あざとく、かわいく、したたかに ～私のこと、かわいいだけだと思ってた？～（分冊版）,https://manga.line.me/product/periodic?id=S130675,https://linemanga-obs.line-scdn.net/0hlYDeQN_GM3Z5HCPUxQFMIUxBNRkAcCR_EypiQgJbOQVKKnBzRHl8FV9ZbUNVL3AnF3I/middle,12.0,前田アラン,S130675,容姿端麗で気立てもよく、誰からも好かれるための努力と気遣いを惜しまない美人OL・江夏典子。常に愛想を振りまき計算された「あざとさ」で社内の人気をひとり占めしていたある時、新入社員・栗原スイの登場により状況は一転！透きとおる白い肌に儚げな佇まい、そして少女のようなあどけなさを兼ね備えた完璧な「かわいさ」を誇るスイの魅力に、一瞬で男性社員たちの視線と心を奪われてしまう。その様子に怒りと危機感を募らせる江夏は、スイをことあるごとにライバル視するようになるが……!?――「かわいい」だけじゃない、見た目の裏に潜む「あざと系女子VSあざと系女子」のしたたかさ全開、本性むき出し腹黒バトルいざ開幕!!※この作品は『ストーリーな女たち　Vol.90』に収録されています。重複購入にご注意ください。,327.0,3282.0
超越者バトルに帰還英雄が降臨した,https://manga.line.me/product/periodic?id=Z0003342,https://linemanga-obs.line-scdn.net/0hZ2g9Fl2DBR1aQBsYAp16Sn8dA3IjLBIUMHZUKSEHD25pEkRLBnI9K3YJO0UvIBgfHyQfcnlFWiR-NUJPbnJMKXkQ/middle,86.0,PlanA(作画)・Two-zero(脚色)・NICCOLO(原作),Z0003342,"自分の命と引き換えに人類を救ったヒーロ・最強の超越者「ソムン・ヨウ」。
死亡したとされていた彼が17年後の平和な世界に突然舞い戻り、超越者たちの競技『バトル・フィールド』界に変革を巻き起こす。
現代ファンタジー×バトル×スポーツ！",130.0,1386.0
せっかく令嬢に憑依したのにすでにやらかした後でした！,https://manga.line.me/product/periodic?id=S137720,https://linemanga-obs.line-scdn.net/0hcqOprm7sPF5yCS22QqJDCUdUOjELZStXGD9taglONi1BOHxbTmhwalNMYmsNai8KSD0/middle,281.0,沢野いずみ・BAON・夜田あかり,S137720,社畜のように日々働いていた主人公は、ある日、目が覚めると異世界の令嬢クリスティナに憑依していた。望んでいたような人生のやり直し、ではない。記憶によればこの身体の持ち主はとんでもない悪女で、すでに色々『やらかしたあと』だった！　王太子からは「次はない」と脅され、抑制の手段という理由で監視役の公爵令息からは「一緒に住む」と言われ…!?　本気で抹殺の理由を得ようとしていると震えるクリスティナは、好感度を下げないために労働することを思いつく。一方、公爵は監視の他にも思惑があるようで……。やらかし終えた元悪女と、監視役公爵との無自覚ロマンスファンタジー！,229.0,2571.0
リストラ男、回帰して人生逆転を目指す,https://manga.line.me/product/periodic?id=Z0003400,https://linemanga-obs.line-scdn.net/0hhw8sOiBcN1gFCilcSFNIDyBXMTd8ZiBRbzxmbH5NPSs2ZiwHchIKRl56FR5sPRttUG4tbCMPbGwtf3AKMTt_OXde/middle,169.0,O-jung(原作)・StudioMW(脚色)・Dahee Kown(作画),Z0003400,"人生を捧げた会社からリストラされたと思ったら
入社初日にタイムスリップ!?
国内屈指の大企業に入社した
低学歴新入社員の佐藤哲人。
生まれ変わった今回の人生では、
ずっと夢だった｢社長｣の座に就くことができるのか？
現代版 人生逆転ストーリー！",55.0,719.0
愛人転生 ―サレ妻は死んだ後に復讐する―（連載版）,https://manga.line.me/product/periodic?id=S144076,https://linemanga-obs.line-scdn.net/0h_y3aYxNlAFYOGBGdAHR_ATtFBjl3dBdfZC5RYnVfCiU9KxIIYSobOSpdXmN3IRcJYS0/middle,37.0,池田聖子・peep・久嘉めいら・taskeySTUDIO,S144076,夫と義家族に虐げられながら、10年間結婚生活を送っていた真山千里は、自分の誕生日に夫・悠太が若い女性と仲睦まじく歩いているのを見てしまう。愛人と揉み合いになり、勢いで二人はトラックに轢かれ――。病室で目を覚ますと「瑠奈、生きててよかった……」と愛人の名を呼ぶ悠太。鏡を見ると、千里は愛人に転生してしまっていた。千里は新しい命を懸け、悠太への復讐を誓う――。,133.0,1367.0
幼馴染との一夜はオススメしません！,https://manga.line.me/product/periodic?id=Z0003462,https://linemanga-obs.line-scdn.net/0hfIerlvBpOWZYCygQmt9GMX1WPwkhZy5vMj1oUiNMMxVrMwBEOAQ3fiprYAwdUBtDY2okBy0MZFd3fn41YTghB3sJ/middle,2456.0,The Clever(脚色)・hu yeong(作画)・Kwonzzi(原作),Z0003462,"｢生まれたときから友達だったヤツと一夜を共に!?｣

生まれた瞬間から高校まで、人生の大半を共にしたあいつ…如月 蒼真(きさらぎ そうま)。
誰でも虜にするような蒼真の美貌のせいで辛い学生生活を送ってきた私・神田 結衣(かんだ ゆい)は、二度と関わらないと神に誓い、平凡な会社員生活を送っていた。
ところがある日…酒を飲んで泥酔し、目を開けるとそこは見知らぬホテルのベッドの上。隣に寝ているのは…蒼真!?
私たちの30年間の友情、一体どうなっちゃうの!?",68.0,3136.0
替え玉養女は自由になります！,https://manga.line.me/product/periodic?id=S149632,https://linemanga-obs.line-scdn.net/0h9gxH9wlxZkhFMXhMdboZH3BsYCc8XXFBLwc3fD52bDt2AydMelEqeTV0OHxgVnUcfQU/middle,296.0,えもりゆい・かよこ・Minto Studio,S149632,両親を事故で失ったニナはルースト家に引き取られ、以降娘リリアの替え玉として生きている。これも名門魔法学校を卒業するまでの辛抱だと思い役目を受け入れていたが、エルランド殿下の魔力異常症の治療の依頼がきてから、替え玉としての人生が大きく変わっていくことに!!ニナは身代わりを強いられ窮屈な日々を過ごし…続けるほどやわじゃない!?ひたむきに前を向いて生きていく、学園ファンタジー開幕！【クレジット】原案:えもりゆい / ネーム:かやなぎ一羽 / 人物線画:かよこ / 背景:Vertwo / 着彩・仕上げ:だれ / 制作：Minto Studio,90.0,1196.0
悪役暴君はやり直したい,https://manga.line.me/product/periodic?id=Z0003672,https://linemanga-obs.line-scdn.net/0h3uMTbUg2bFpwLXJfObgTDVVwajUJQXtTGhs9bgtqZilDXF5kODFeOjdIYW0rWF58E0l3PAAvN2lVWCsIRB8kbwYu/middle,27.0,Studio wooridle(漫画)・Jepure(原作),Z0003672,"｢君が望むなら死ぬのも悪くない｣
愛する妻オリーブの手によって殺された｢暴君｣ルドビヒ。
死を受け入れた瞬間、目を覚ますとオリーブと初めて出会った庭にいた。
｢せめて人間らしく振舞っていれば、多くのことが変わっていた｣というオリーブの言葉を胸に刻み、ルドビヒは再出発する！",170.0,1727.0
甘い言葉でささやいて,https://manga.line.me/product/periodic?id=Z0003044,https://linemanga-obs.line-scdn.net/0hfn1P59h9OUEMKSdEVk5GFil0Py51RS5IZh9odXduMzI_ax5ET0cVfFdbZQV1UgRcZ00jLykvY3cpXH4TOBtwcyoo/middle,308.0,みみかちゃん,Z0003044,東雲千理は終電で帰宅途中、偶然同じ車両に乗っていた香月未来を見かける。 その後、二人は１ヵ月間電車で顔を合わせるようになる。 香月未来を目で追っていた東雲千理は徐々に特別な感情へと変わっていく。 そんなある日、東雲千理は偶然香月未来の秘密を知ることになるが…,121.0,1518.0
銀太郎さんお頼み申す,https://manga.line.me/product/periodic?id=S130791,https://linemanga-obs.line-scdn.net/0hqWezv1-zLnhYAz7ZYd1RL21eKBchbzlxMjV_TCNEJAtrZm95bTE1HS9GcE10MDx-ZW0/middle,92.0,東村アキコ,S130791,岩下さとりはバイト先のコーヒーショップに現れた謎の着物美人をひと目見た瞬間、夢中に　そんな時、着物美人から頼まれごとをされ、憧れの着物を着させてもらうことになった！　着物の美しさと、日本の伝統的な文化の奥深さに、心を打たれて――？,141.0,1502.0
コミュ障、異世界へ行く,https://manga.line.me/product/periodic?id=Z0002081,https://linemanga-obs.line-scdn.net/0hP4-JF7P2DxsQMxESYSJwTDVuCXRpXxgSegVeL2t0BWgjfwkfSQwDIn1YIXY9cC8zLlcVeWAwVCo6RkhJfAUQfzc0/middle,777.0,原作：山下将誇・作画：宇上貴正,Z0002081,異世界へ飛ばされた、引きこもりのコミュ障。,416.0,4937.0
小さな皇子を拾ったら溺愛されました,https://manga.line.me/product/periodic?id=S145475,https://linemanga-obs.line-scdn.net/0hX595JBLjBxoETBa0H-x4TTERAXV9IBATbnpWLn8LDWk3K0dJbXkafCkJWS4oeBMePiw/middle,1333.0,和泉あや・Plott,S145475,第一皇子の妃候補として宮入した小国の第三王女・リノアは、母の身分が低く、姉や妃候補たちに嫌がらせを受けていた。ある夜、傷だらけの少年・クラウスを保護したリノアは、自分の母の甥と偽って一緒に暮らすことに。だが、少年の正体は政権争いの末に、呪いで子供に姿を変えられた第一皇子だった...！彼が大人に戻るきっかけはリノアのキスで──！？「キスは手にしましょうか」「却下だ　リノアとは唇にしたい」それは、解呪できるから？それとも…… 【クレジット】和泉あや（原作・脚本） yue・乱翠（ネーム） アサ山・EVERGREEN（線画） 拓思科技（背景・着彩・仕上げ）豊田あや・山本海鈴・内ケ崎友羅・板野侑衣子・堀江理沙 / Plott（プロデュース・ディレクション）,107.0,2403.0
落第聖女なのに聖女が嫌いな辺境伯に溺愛されてます【タテヨミ】,https://manga.line.me/product/periodic?id=S144617,https://linemanga-obs.line-scdn.net/0hJhfzXTsdFUdbAwTE5NlqEG5eEygibwJOMTVEcyBEHzRoOgVDNWEPdXZGS3N1M1YYZjA/middle,81.0,shiryu・おたべさくら・テェミ・TORO缶・クロラ・Studio No.9,S144617,伯爵令嬢のリリアナは「役立たずの落第聖女」と呼ばれる落ちこぼれ。しかし本当は義妹に魔力をずっと奪われ続け本当の力を発揮することができなかったのだ。そんなある日、隣国の辺境伯から縁談話が持ち込まれる。現当主のシリウス・ルンドヴァルは「聖女が大嫌いだ」と明言しており、気が進まないが断る事もできず嫁ぐことになるリリアナ。当然のように、はじめは冷たかったシリウス。だが、やがてリリアナの真摯な姿に心を許し、徐々に距離が近づいていき――？,106.0,1141.0
最強ゲーマーはトロールしたい,https://manga.line.me/product/periodic?id=Z0002809,https://linemanga-obs.line-scdn.net/0hr5y80JCrLRpEQTMfGtdSTWEcK3U9LToTLnd8Lj8GJ2l3OCpFM34yGz4BCShhIxoxBiU3fGJCcC1hNGpIcHNkLDJB/middle,86.0,YATO(絵)・MOKKIKO AKIKKO(脚色)・Fried-Mandu(原作),Z0002809,"世界で最も蓋然性のあるゲーム。 
アジン電子、シリコフインダストリー、コーポレーションアルゴス。 
世界屈指の大企業が合作し作りだした史上初の仮想現実ゲームアルカシア。
 [ようこそいらっしゃいました　幻想の世界アルカシアへ] 
その中で起こる予想できない数々の物語に、ハードコアゲーマーであるユン・ジェヨンが挑む！！！",111.0,1196.0
月が綺麗ですね,https://manga.line.me/product/periodic?id=S113934,https://linemanga-obs.line-scdn.net/0hiEFCLk5QNmp7OifiG19JPU5nMAUCViFjEQxnXgB9PBlIAnQ_Q1srBQ5_aF5VWHE_FF8/middle,906.0,山本修世,S113934,宮下月美 25歳。見た目こそが超大事。奇麗なうちに愛嬌ふりまき条件のいい男をつかまえる。そんな人生プランをたてていたのだが…　官能検査員の鏡見からあっさり看破されて！？,63.0,1536.0
ぬらりひょんの棲む家,https://manga.line.me/product/periodic?id=S129569,https://linemanga-obs.line-scdn.net/0hHsF4ycryF1x7TQkWQxBoC04QETMCIQBVEXtGaAAKHS9IKFZeRnsIaFcISWhRdQVaTns/middle,4.0,大城密・peep・羅風龍・サイドランチ・二木靖・taskeySTUDIO,S129569,【ショートドラマサービス「SWIPEDRAMA」にて実写ドラマ化！】不眠症により体調不良になっている大学生の小山田和宏は、夏休みを利用して療養するため実家へ帰郷した。実家に着くと、居るはずの祖父母の姿が見えない。違和感を感じた和宏は両親にそのことを尋ねるが、不審な反応をされてしまう。そして和宏は、家族の異変の『正体』に気づいてしまった…。,208.0,2084.0
レベル999黒幕公女になりました,https://manga.line.me/product/periodic?id=S141472,https://linemanga-obs.line-scdn.net/0ha1NHyyS-Ph5zMS6_SuhBSUZsOHEKXSkXGQdvKgh2NG1ABn9JGFYlewR0YCtfAiwYTgM/middle,41.0,NCLO・Hangaga・SANSOBEE,S141472,乙女ゲーム「この世界は愛の力と共に」の世界に主人公ではなくLv.999魔王として転生してしまった。家門から寒い北部へ追い出されてしまったが…もしこの魔法で雪を溶かせるなら？突破口を見つけて農業を営み、自由気ままな生活を送ろうとするが…攻略キャラたちが次々と襲ってくる。あの、どうでもいいからみんな消えてくれませんか？,166.0,1701.0
転生したので闇落ち野獣を手懐けます,https://manga.line.me/product/periodic?id=Z0003578,https://linemanga-obs.line-scdn.net/0h2EHRRJD4bWp1K3Nq_78SPVB2awUMR3pjHx08Xg5sZxlGe0tjPhd4DQpqST0fT1hXCU93DAQoNllbXio4GU9yWAMp/middle,102.0,Ryuho(脚色)・yangdam(作画)・Hwang DoTol(原作),Z0003578,"ある日突然、18禁闇落ち小説の世界に転生！
美しくやさしい女性主人公の妹として転生したレナティスは、悲しい結末を迎える姉の物語を変えるため、自ら、狂気に満ちた野獣系イケメン、テオドールの生贄になった。
でも、この人、思ったより怖くないかも!? 小説で読んだ内容とは何かが違う!? 
底抜けに明るいレナティスの野獣調教記が始まる。",141.0,1512.0
嘘つき皇后様は波乱の始まり,https://manga.line.me/product/periodic?id=Z0003514,https://linemanga-obs.line-scdn.net/0hC4Hc6iR_HBt1GgIRhHBjTFBHGnQMdgsSHyxNLw5dFmhGSDsuPAIxKApeBEkFbTAVK34GKFQaRSlRb1tJGSxQf1NP/middle,72.0,YFALL・フーモア,Z0003514,"政略結婚で嫁いできた、隣国の美しき皇后。しかし、国の命運がかかったその結婚は実は偽りのものだった――その【秘密】を知ってしまったのは私だけ!?　和平のために、国中を欺くその”嘘”を新米女中が守り抜きます！
※この物語はフィクションです。実在の人物・団体・事件等とは一切関係はありません。",205.0,2122.0
夫に抱かれながら、不倫します,https://manga.line.me/product/periodic?id=S118261,https://linemanga-obs.line-scdn.net/0hiCKjY9pVNmx2EybDLQNJO0NOMAMPfyFlHCVnWA1UPB9FInVuSSZ6XwdWaFlaJiZpGHM/middle,1204.0,一城咲ルイ,S118261,「貴方にとって私はセックスだけの道具なの？」嫁のことをセックスの道具としてしか見ない夫。毎晩のように体を求めてくる彼の性欲に日々恐れを募らせていく女…すれ違っていく夫婦間。方や、子作りのプレッシャーに押しつぶされそうになっている夫婦。義母との軋轢に苦しむ夫と嫁。次第に嫁は常軌を逸した言動をするようになり、夫は疲弊していく…。そんなすれ違いの中、彼女と彼が運命的に出会う！お互いの渇きを癒すように急激に惹かれ合っていく2人。疲れ果て行き場を失った彼女と彼はついに…。,965.0,10854.0
愛されなかった私たち,https://manga.line.me/product/periodic?id=S149978,https://linemanga-obs.line-scdn.net/0hgOlCyzNAOGBROinXQz1HN2RnPg8oVi9pOwxpVCp9MhNiDncyaFl-A3d_ZlR9WC0zOF0/middle,516.0,ミヤザワユキ・SORAJIMA,S149978,結婚４年目にしてようやく授かった新しい命。幸せな家庭に憧れるあきらは胸を踊らせるが、出産を控えたある日体調が急変。病院に搬送されたあきらだったが医師たちの処置も虚しく流産してしまう…。そこに駆けつけた夫・光一はあきらを抱きしめるが、病室を去るときに意味深な笑顔を浮かべる夫をあきらは見てしまう…。３ヶ月後、悲しみに暮れ、退院して家に戻ったあきらは、ひょんなことから夫のスマホを見てしまう。「目元がすっかり光ちゃんに似てきたよ！」赤ちゃんの写真が添えられた見知らぬ女からのメッセージ。あきらの悲劇には秘密があって!?　【クレジット】脚本：ミヤザワユキ　/　ネーム：山本せと　/　人物線画：marumitsu /　人物着彩：吉乃ハル/　背景：sakippu /　仕上げ：ハヤミ　/　キャラクターデザイン：RiKO /　ロゴデザイン:屋良　/　ディレクション:渡部敬介,41.0,926.0
優しい救世主を皇帝にする方法,https://manga.line.me/product/periodic?id=Z0003608,https://linemanga-obs.line-scdn.net/0hm4LFxgqpMhtxPywfRjlNTFRiNHQIUyUSGwljLwp4OGhCeSYqGAUDGwxAEGM8DQEEFlsoeV06ayhVSnVJRQ56fVE_/middle,72.0,Marucomics(作画)・graiyo(原作),Z0003608,"夫のジョセフに裏切られ、殺されたイネス。
しかし目を覚ますと、平和だった12年前に戻ってきていた。
そのうえ回帰前に自分を救ってくれた男、カーソンが現れ…
「もしかして私たち、どこかでお会いしましたか？」",110.0,1172.0
私の破滅を願う人々へ,https://manga.line.me/product/periodic?id=S147747,https://linemanga-obs.line-scdn.net/0hvKubHI51KWRIGzhOfsZWM31GLwsxdz5tIi14UDNcIxd7Kms0J3w2Vzled1FsIzoydS0/middle,34.0,Choil・Hyangcho・Wonders,S147747,長きにわたりいがみ合ってきた二つの家門の男女が婚姻関係を結んだ。お互いを憎み合う夫婦の間で、愛情に飢えたまま育った子、それがレオニだ。あらゆる人間に利用され続け、苦しみぬいた人生だった。策略にはまり死を迎えるその瞬間、彼女は異能を使い転生した。目を覚ますとそこにいたのは10歳の頃の自分。もう一度やり直そう。今まで私を苦しめてきた人たちにお返ししてやる。令嬢の復讐は口火を切った。,72.0,754.0
異世界帰りの最強テイマー、使い魔は幼馴染,https://manga.line.me/product/periodic?id=S143599,https://linemanga-obs.line-scdn.net/0h6VwoVyueaXlKFnnYc9cWLn9LbxYzen5wICA4TTFRYwp5cyYvf3h2TG9TN0xmJXt_dnc/middle,124.0,すかいふぁーむ・冥土院ヘブん・booklistaSTUDIO,S143599,「でも私、ご主人様の渉（わたる）がいないと何もできないよ？」　異世界に突然召喚され、危機を救った高校生の渉と瑠美は、無事に現実世界へと帰還した。しかし、戻ってきたはずの現実世界は様変わりしていて、ダンジョンが発生し、人類はスキルに目覚め、まるで異世界と同じような世界になっていて…　異世界帰りのテイマー・渉と、その使い魔・瑠美。幼馴染以上恋人未満の最強コンビが無双するダンジョンファンタジー,50.0,624.0
